127.0.0.1 - - [13/Dec/2013:00:28:46 -0500] "GET / HTTP/1.1" 200 11444
192.168.2.97 - - [13/Dec/2013:01:02:11 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=12&startid=0&count=10 HTTP/1.1" 200 2610
192.168.2.97 - - [13/Dec/2013:01:02:25 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=01&startid=0&count=10 HTTP/1.1" 200 2655
192.168.2.97 - - [13/Dec/2013:01:02:30 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=03&startid=0&count=10 HTTP/1.1" 200 1675
192.168.2.97 - - [13/Dec/2013:01:02:39 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=12&startid=0&count=10 HTTP/1.1" 200 2610
192.168.2.97 - - [13/Dec/2013:01:02:44 -0500] "GET /web/getNews?urltitle=Christmas-Tea HTTP/1.1" 200 523
192.168.2.97 - - [13/Dec/2013:01:02:51 -0500] "GET /web/getNews?urltitle=Old-World-Christmas-Market HTTP/1.1" 200 663
192.168.2.97 - - [13/Dec/2013:01:02:56 -0500] "GET /web/getNews?urltitle=Dora-The-Explorer-Live--Search-for-the-City-of-Lost-Toys HTTP/1.1" 200 404
192.168.2.97 - - [13/Dec/2013:01:09:49 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=12&startid=0&count=10 HTTP/1.1" 200 2610
192.168.2.97 - - [13/Dec/2013:01:10:53 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=12&startid=0&count=10 HTTP/1.1" 200 2610
192.168.2.97 - - [13/Dec/2013:01:11:16 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=01&startid=0&count=10 HTTP/1.1" 200 2655
192.168.2.97 - - [13/Dec/2013:01:11:19 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=02&startid=0&count=10 HTTP/1.1" 200 2687
192.168.2.97 - - [13/Dec/2013:01:11:28 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=12&startid=0&count=10 HTTP/1.1" 200 2610
192.168.2.97 - - [13/Dec/2013:01:11:32 -0500] "GET /web/getNews?urltitle=Christmas-Tea HTTP/1.1" 200 523
192.168.2.97 - - [13/Dec/2013:01:11:46 -0500] "GET /web/getNews?urltitle=Old-World-Christmas-Market HTTP/1.1" 200 663
192.168.2.97 - - [13/Dec/2013:01:11:51 -0500] "GET /web/getNews?urltitle=Dora-The-Explorer-Live--Search-for-the-City-of-Lost-Toys HTTP/1.1" 200 404
192.168.2.97 - - [13/Dec/2013:01:12:16 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=12&startid=10&count=10 HTTP/1.1" 200 2388
192.168.2.97 - - [13/Dec/2013:01:12:24 -0500] "GET /web/getNews?urltitle=The-Magic-of-Christmas--Rowntree HTTP/1.1" 200 692
192.168.2.97 - - [13/Dec/2013:01:12:38 -0500] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
192.168.2.97 - - [13/Dec/2013:01:12:45 -0500] "GET /web/getSpecifyCategoryFacility?cid=03&startid=0&count=10 HTTP/1.1" 200 1697
192.168.2.97 - - [13/Dec/2013:01:12:53 -0500] "GET /web/getSpecifyCategoryFacility?cid=04&startid=0&count=10 HTTP/1.1" 200 1553
192.168.2.97 - - [13/Dec/2013:01:12:55 -0500] "GET /web/getSpecifyCategoryFacility?cid=04&startid=10&count=10 HTTP/1.1" 200 1119
192.168.2.97 - - [13/Dec/2013:01:13:02 -0500] "GET /web/getBus?facilityx=-81.2104517639&facilityy=43.0139522416 HTTP/1.1" 200 7745
192.168.2.97 - - [13/Dec/2013:01:18:05 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=12&startid=0&count=10 HTTP/1.1" 200 2610
192.168.2.97 - - [13/Dec/2013:01:18:28 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=01&startid=0&count=10 HTTP/1.1" 200 2655
192.168.2.97 - - [13/Dec/2013:01:18:32 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131213&cid=02&startid=0&count=10 HTTP/1.1" 200 2687
192.168.2.97 - - [13/Dec/2013:01:18:39 -0500] "GET /web/getNews?urltitle=Orchestra-London-Masterworks-Series--Shakespeare-in-Love HTTP/1.1" 200 606
192.168.2.97 - - [13/Dec/2013:01:18:44 -0500] "GET /web/getNews?urltitle=Fanshawe-Falcons-Mens-Volleyball-vs-Mohawk-Mountaineers-Feb-1 HTTP/1.1" 200 689
192.168.2.97 - - [13/Dec/2013:01:18:48 -0500] "GET /web/getNews?urltitle=Fanshawe-Falcons-Womens-Volleyball-vs-Mohawk-Mountaineers-Feb-1 HTTP/1.1" 200 690
192.168.2.97 - - [13/Dec/2013:01:18:52 -0500] "GET /web/getNews?urltitle=Raffi HTTP/1.1" 200 1039
